Filename,Formula,Notes,Num Elements,2a
1260643.cif,'Al0.17Co0.17Cr0.17Fe0.17Mn0.17Ni0.17',,6,Al0.167Co0.167Cr0.167Mn0.167
1731082.cif,'Al0.20Co0.16Cr0.16Fe0.16Mn0.16Ni0.16',,6,Al0.2Co0.16Cr0.16Fe0.16
1962487.cif,'Al0.23Co0.16Cr0.16Fe0.15Mn0.15Ni0.15',,6,Al0.23Co0.16Cr0.16Fe0.15
1833851.cif,Al0.25Co0.45Cr0.25Fe0.05,,4,Co0.45Al0.25Cr0.25Fe0.05
1963189.cif,'Al0.08Co0.15Cr0.15Cu0.15Fe0.15Ni0.15Si0.15Y0.01',,8,Co0.153Cr0.153Cu0.153Fe0.153
1963188.cif,'Al0.08Co0.15Cr0.15Cu0.15Fe0.15Ni0.15Si0.15',,7,Co0.154Cr0.154Cu0.154Fe0.154
1965324.cif,'Al0.16Co0.17Cr0.17Cu0.17Fe0.16Ni0.17',,6,Co0.17Cr0.17Cu0.17Ni0.17
1260642.cif,'Al0.17Co0.17Cr0.17Cu0.17Fe0.17Ni0.17',,6,Al0.167Co0.167Cr0.167Cu0.167
1834190.cif,'Al0.17Co0.17Cr0.16Cu0.16Fe0.17Ni0.17',,6,Al0.17Co0.17Fe0.17Ni0.17
1833850.cif,Al0.25Co0.50Cr0.25,,3,Co0.5Al0.25Cr0.25
1927810.cif,Al0.25Co0.50Cr0.25,,3,Co0.5Al0.25Cr0.25
1927733.cif,Al0.25Co0.50Cr0.25,,3,Co0.5Al0.25Cr0.25
1923929.cif,Al0.25Co0.50Cr0.25,,3,Co0.5Al0.25Cr0.25
532188.cif,Al0.20Au0.80,ht,2,Au0.8Al0.2
1928635.cif,Al0.20Au0.80,ht,2,Au0.8Al0.2
528689.cif,Ag0.50Zn0.50,ht,2,Ag0.5Zn0.5
261350.cif,Ag0.50Zn0.50,ht,2,Ag0.5Zn0.5
456063.cif,Ag0.02Li0.98,rt,2,Li0.98Ag0.02
451418.cif,Ag0.75In0.25,ht2,2,Ag0.75In0.25
311799.cif,Ag0.50Gd0.50,,2,Ag0.5Gd0.5
1946393.cif,Ag0.49Ga0.01Zn0.50,,3,Zn0.5Ag0.49Ga0.01
458548.cif,Ag0.22Fe0.78,tf,2,Fe0.78Ag0.22
302669.cif,Ag0.50Cd0.25Zn0.25,,3,Ag0.5Cd0.25Zn0.25
533474.cif,Ag0.48Cd0.52,ht2,2,Cd0.52Ag0.48
261349.cif,Ag0.50Cd0.50,ht2,2,Ag0.5Cd0.5
455171.cif,Ag0.75Al0.25,ht,2,Ag0.75Al0.25
