Filename,Formula,Notes,Num Elements,1a CsCl,1b CsCl
450588.cif,RhY,,2,Y,Rh
261656.cif,RhY,,2,Y,Rh
451397.cif,RhTm,,2,Tm,Rh
528898.cif,Rh0.67Ti1.33,ht2,2,Ti,Rh0.67Ti0.33
262073.cif,Rh0.70Ti1.30,ht2,2,Rh0.7Ti0.3,Ti
261573.cif,Rh0.80Ti1.20,ht2,2,Ti,Rh0.8Ti0.2
1235218.cif,RhTi,ht2,2,Rh,Ti
260798.cif,RhTi,ht2,2,Rh,Ti
451393.cif,RhTb,,2,Rh,Tb
261669.cif,RhSm,,2,Sm,Rh
451392.cif,RhSm,,2,Sm,Rh
450587.cif,RhSm,,2,Sm,Rh
1500688.cif,RhSi,cub,2,Rh,Si
1817924.cif,Rh0.97Sc1.03,,2,Sc,Rh0.97Sc0.03
451389.cif,RhSc,,2,Sc,Rh
451327.cif,RhSc,,2,Sc,Rh
1838012.cif,Rh0.34Ru0.60Sc1.06,,3,Sc,Ru0.6Rh0.34Sc0.06
1838009.cif,Rh0.56Ru0.44Sc,,3,Sc,Rh0.56Ru0.44
527053.cif,ReTi,,2,Re,Ti
535065.cif,ReTi,,2,Ti,Re
262049.cif,PtZr,ht,2,Pt,Zr
1819885.cif,PtZr,ht,2,Pt,Zr
530382.cif,PtTi,ht,2,Pt,Ti
525113.cif,PtSc,,2,Sc,Pt
527111.cif,PtSc,,2,Sc,Pt
1249416.cif,PtSc,,2,Sc,Pt
1924656.cif,Pt0.40Re0.60Ti,,3,Re0.6Pt0.4,Ti
456307.cif,PrZn,rt,2,Pr,Zn
453500.cif,PrZn,rt,2,Pr,Zn
311231.cif,PrZn,rt,2,Pr,Zn
533705.cif,PrZn,rt,2,Pr,Zn
1013015.cif,PrZn,rt,2,Pr,Zn
532068.cif,PrZn,rt,2,Pr,Zn
1006736.cif,PrZn,rt,2,Pr,Zn
1301115.cif,PrTl,rt,2,Pr,Tl
450236.cif,PrTl,rt,2,Pr,Tl
457647.cif,PrTe,hp,2,Pr,Te
456416.cif,PrTe,hp,2,Pr,Te
1965375.cif,PdZr,ht2,2,Zr,Pd
1301019.cif,PdZr,ht2,2,Zr,Pd
533013.cif,Pd0.80Zn1.20,ht,2,Zn,Pd0.8Zn0.2
533014.cif,Pd1.33Zn0.67,ht,2,Pd,Zn0.67Pd0.33
458124.cif,PdYb,ht,2,Yb,Pd
1630223.cif,PdYb,ht,2,Pd,Yb
1933216.cif,PdYb,ht,2,Yb,Pd
533884.cif,PdYb,ht,2,Pd,Yb
1929568.cif,PdYb,ht,2,Yb,Pd
1238406.cif,PdYb,ht,2,Yb,Pd
450112.cif,PdYb,ht,2,Pd,Yb
1234522.cif,PdYb,ht,2,Yb,Pd
1940396.cif,PdYb,ht,2,Yb,Pd
450111.cif,PdTm,,2,Tm,Pd
528108.cif,PdTm,,2,Tm,Pd
1407327.cif,PdTi,ht,2,Ti,Pd
530383.cif,PdTi,ht,2,Pd,Ti
527114.cif,PdSc,,2,Sc,Pd
526644.cif,PdSc,,2,Pd,Sc
457079.cif,PbTe,hp2,2,Pb,Te
456664.cif,PbTe,hp2,2,Pb,Te
1940328.cif,PbTe,hp2,2,Pb,Te
456647.cif,PbTe,hp2,2,Pb,Te
1819190.cif,Pb0.88SeSn0.13,hp2,3,Pb0.875Sn0.125,Se
456645.cif,PbSe,hp3,2,Pb,Se
1943021.cif,PbSe,hp3,2,Pb,Se
456643.cif,PbS,hp2,2,Pb,S
1301014.cif,OsZr,,2,Zr,Os
252219.cif,OsZr,,2,Zr,Os
450456.cif,Os0.80V1.20,rt,2,V,Os0.8V0.2
261567.cif,Os0.80V1.20,rt,2,V,Os0.8V0.2
252227.cif,OsV,rt,2,V,Os
252216.cif,OsTi,,2,Ti,Os
528559.cif,OsTi,,2,Os,Ti
457558.cif,OsTi,,2,Os,Ti
535078.cif,OsTi,,2,Ti,Os
250056.cif,OsSi,stab,2,Os,Si
1924653.cif,Os0.50Re0.50Ti,,3,Os0.5Re0.5,Ti
1217186.cif,O2Tl2,,2,Tl,O
1521390.cif,NTl,lt1,2,Tl,N
1902901.cif,NO2Tl,lt1,3,Tl,NO
1934637.cif,Ni0.96Zn1.04,ht,2,Zn,Ni0.96Zn0.04
455173.cif,NiZn,ht,2,Ni,Zn
1008814.cif,NiTi0.80Zr0.20,ht,3,Ti0.8Zr0.2,Ni
1960945.cif,NiTi0.70Zr0.30,ht,3,Ni,Ti0.7Zr0.3
1620561.cif,NiTi0.64Zr0.36,ht,3,Ni,Ti0.64Zr0.36
1601447.cif,NiTi0.64Zr0.36,ht,3,Ni,Ti0.64Zr0.36
1051255.cif,Ni0.98Ti0.02Zr0.98,ht,3,Ni0.976,Zr0.976Ti0.024
1051256.cif,NiTi0.50Zr0.50,ht,3,Ni,Ti0.5Zr0.5
1707389.cif,NiTi0.50Zn0.50,cub,3,Ni,Ti0.5Zn0.5
1231630.cif,Ni0.98Ti1.02,ht,2,Ti,Ni0.98Ti0.02
534320.cif,NiTi,ht,2,Ni,Ti
382431.cif,NiTi,ht,2,Ti,Ni
1129199.cif,NiTi,ht,2,Ti,Ni
1051254.cif,NiTi,ht,2,Ni,Ti
1927987.cif,NiTi,ht,2,Ti,Ni
380740.cif,NiTi,ht,2,Ti,Ni
1413668.cif,NiTi,ht,2,Ti,Ni
1051253.cif,NiTi,ht,2,Ni,Ti
457607.cif,NiTi,ht,2,Ti,Ni
535064.cif,NiTi,ht,2,Ni,Ti
458716.cif,NiTi,ht,2,Ni,Ti
1008815.cif,NiTi,ht,2,Ti,Ni
1051252.cif,NiTi,ht,2,Ni,Ti
1020361.cif,NiTi,ht,2,Ti,Ni
1301515.cif,NiTi,ht,2,Ti,Ni
1227558.cif,NiTi,ht,2,Ti,Ni
1923836.cif,NiTi,ht,2,Ti,Ni
1804230.cif,NiTi,ht,2,Ti,Ni
1722046.cif,NiTi,ht,2,Ni,Ti
1617145.cif,NiTi,ht,2,Ti,Ni
1617189.cif,NiTi,ht,2,Ti,Ni
1617260.cif,NiTi,ht,2,Ti,Ni
452237.cif,NiTi,ht,2,Ni,Ti
537982.cif,NiTi,ht,2,Ni,Ti
1823877.cif,NiTi,ht,2,Ni,Ti
252225.cif,NiTi,ht,2,Ti,Ni
1245842.cif,NiTi,ht,2,Ni,Ti
530352.cif,NiTi,ht,2,Ni,Ti
261323.cif,NiTi,ht,2,Ni,Ti
1232907.cif,NiTi,ht,2,Ni,Ti
1628894.cif,NiTi,ht,2,Ni,Ti
1628892.cif,NiTi,ht,2,Ni,Ti
1413594.cif,Ni1.08Ti0.92,ht,2,Ti0.92Ni0.08,Ni
1941680.cif,NiSn0.32Zn0.68,,3,Ni,Zn0.68Sn0.32
1707390.cif,NiSn0.50Ti0.50,,3,Ni,Sn0.5Ti0.5
1834660.cif,NiSn0.12Ti0.88,,3,Ti0.88Sn0.12,Ni
302681.cif,NiSi0.50Zn0.50,ht,3,Ni,Si0.5Zn0.5
261763.cif,Ni1.52Si0.48,ht,2,Ni0.52Si0.48,Ni
1013919.cif,NiSc0.50Zr0.50,,3,Sc0.5Zr0.5,Ni
1611987.cif,NiSc0.70Ti0.30,,3,Ni,Sc0.7Ti0.3
1838001.cif,Ni0.98Sc0.28Ti0.74,,3,Ni0.98Ti0.02,Ti0.72Sc0.28
1611986.cif,NiSc,,2,Ni,Sc
551923.cif,NiSc,,2,Sc,Ni
1944179.cif,NiSc,,2,Sc,Ni
527117.cif,NiSc,,2,Sc,Ni
1802789.cif,NiSc,,2,Sc,Ni
527257.cif,NiSc,,2,Sc,Ni
1120413.cif,Ni0.75Sb0.13Zn1.12,,3,Zn0.87Sb0.13,Ni0.75Zn0.25
1234091.cif,Ni0.75Sb0.13Zn1.12,,3,Zn0.87Sb0.13,Ni0.75Zn0.25
1013223.cif,Ni0.60Ru0.40Ti,,3,Ti,Ni0.6Ru0.4
1210633.cif,Ni0.40Rh0.60Ti,,3,Ti,Rh0.6Ni0.4
1633682.cif,Ni0.50Pd0.50Ti,ht,3,Ti,Ni0.5Pd0.5
1227556.cif,Ni0.63Pd0.37Ti,ht,3,Ti,Ni0.63Pd0.37
1605344.cif,Ni0.54Os0.46Ti,,3,Ti,Ni0.54Os0.46
311234.cif,NdZn,rt,2,Nd,Zn
250281.cif,NdZn,rt,2,Nd,Zn
533706.cif,NdZn,rt,2,Nd,Zn
260625.cif,NdZn,rt,2,Nd,Zn
457313.cif,NdZn,rt,2,Nd,Zn
251898.cif,NdZn,rt,2,Nd,Zn
530800.cif,NdZn,rt,2,Zn,Nd
1301116.cif,NdTl,rt,2,Nd,Tl
250306.cif,NdTl,rt,2,Nd,Tl
260880.cif,NbRu,ht,2,Nb,Ru
453903.cif,Nb1.24Ru0.76,ht,2,Nb,Ru0.76Nb0.24
1955797.cif,Nb0.37Pd0.45Rh0.45Sc0.37Zr0.37,,5,Pd0.45Rh0.45Nb0.1,Sc0.367Zr0.366Nb0.267
1955798.cif,Nb0.40Pd0.40Rh0.40Sc0.40Zr0.40,,5,Pd0.4Rh0.4Nb0.2,Sc0.4Zr0.4Nb0.2
1822341.cif,Nb0.10NiTi0.90,,3,Ti0.9Nb0.1,Ni
534493.cif,N3Rb,ht,2,Rb,N
455429.cif,MnZn,rt,2,Mn,Zn
534817.cif,MnZn,rt,2,Mn,Zn
558652.cif,MnZn,rt,2,Mn,Zn
314404.cif,MnZn,rt,2,Mn,Zn
452041.cif,MnV,rt,2,Mn,V
534813.cif,MnV,rt,2,Mn,V
557903.cif,MnV,rt,2,Mn,V
1929615.cif,Mn1.68V0.32,rt,2,Mn,Mn0.68V0.32
1241578.cif,Mn0.20SmZn0.80,,3,Sm,Zn0.8Mn0.2
1924814.cif,Mn0.50RhTl0.50,,3,Mn0.5Tl0.5,Rh
1962879.cif,MnRh,rt,2,Mn,Rh
1645873.cif,MnRh,rt,2,Mn,Rh
530703.cif,MnRh,rt,2,Mn,Rh
261277.cif,Mn1.20Rh0.80,rt,2,Mn,Rh0.8Mn0.2
1933494.cif,Mn0.80PdSn0.20,,3,Pd,Mn0.8Sn0.2
456518.cif,MnPd,ht,2,Mn,Pd
1932102.cif,Mn0.20Ni0.80Zn,,3,Ni0.8Mn0.2,Zn
1243479.cif,MnNi0.80Sn0.20,,3,Mn,Ni0.8Sn0.2
1310147.cif,MnNi,ht2,2,Mn,Ni
456699.cif,MnNi,ht2,2,Mn,Ni
1629321.cif,MgY,,2,Mg,Y
251746.cif,MgY,,2,Mg,Y
250318.cif,MgY,,2,Mg,Y
260793.cif,MgY,,2,Mg,Y
552400.cif,MgY,,2,Mg,Y
453037.cif,MgY,,2,Mg,Y
534909.cif,MgY,,2,Mg,Y
456072.cif,MgY,,2,Y,Mg
250280.cif,MgTm,,2,Mg,Tm
527172.cif,MgTm,,2,Mg,Tm
526425.cif,MgTm,,2,Mg,Tm
1022942.cif,MgTm,,2,Mg,Tm
458266.cif,MgTl,,2,Mg,Tl
251750.cif,MgTb,,2,Mg,Tb
454991.cif,MgTb,,2,Tb,Mg
527174.cif,MgTb,,2,Mg,Tb
1238735.cif,MgTb,,2,Mg,Tb
548292.cif,MgTb,,2,Tb,Mg
526423.cif,MgTb,,2,Tb,Mg
250276.cif,MgTb,,2,Mg,Tb
261141.cif,MgSr,,2,Mg,Sr
1008770.cif,MgSm,,2,Mg,Sm
251891.cif,MgSm,,2,Sm,Mg
260875.cif,MgSm,,2,Sm,Mg
552398.cif,MgSm,,2,Mg,Sm
250274.cif,MgSm,,2,Mg,Sm
251752.cif,MgSm,,2,Mg,Sm
528947.cif,MgSc,rt,2,Sc,Mg
528298.cif,MgSc,rt,2,Sc,Mg
1219829.cif,Mg1.30Sc0.70,rt,2,Mg0.68Sc0.32,Mg0.62Sc0.38
1420766.cif,Mg1.30Sc0.70,rt,2,Sc0.616Mg0.384,Mg0.916Sc0.084
451930.cif,MgRh,cub,2,Mg,Rh
451328.cif,MgRh,cub,2,Mg,Rh
1006959.cif,Mg0.60PrZn0.40,,3,Pr,Mg0.6Zn0.4
1013266.cif,MgPr0.61Yb0.39,rt,3,Pr0.61Yb0.39,Mg
1921683.cif,MgPr0.50Y0.50,,3,Mg,Pr0.5Y0.5
1301230.cif,MgPr,rt,2,Mg,Pr
552396.cif,MgPr,rt,2,Mg,Pr
251753.cif,MgPr,rt,2,Mg,Pr
1011712.cif,MgPr,rt,2,Pr,Mg
250272.cif,MgPr,rt,2,Mg,Pr
1008768.cif,MgPr,rt,2,Pr,Mg
1837947.cif,Mg1.06Pr0.94,rt,2,Mg,Pr0.94Mg0.06
250016.cif,Mg0.83Pd1.17,rt,2,Mg0.83Pd0.17,Pd
457866.cif,MgPd,rt,2,Pd,Mg
1928572.cif,MgPd,rt,2,Mg,Pd
261345.cif,MgPd,rt,2,Pd,Mg
1232908.cif,Mg0.50Ni0.83Ti0.67,,3,Ni0.83Mg0.17,Ti0.67Mg0.33
1006960.cif,Mg0.60NdZn0.40,,3,Nd,Mg0.6Zn0.4
251892.cif,MgNd,rt,2,Mg,Nd
1008769.cif,MgNd,rt,2,Nd,Mg
250273.cif,MgNd,rt,2,Mg,Nd
1011707.cif,MgNd,rt,2,Nd,Mg
552397.cif,MgNd,rt,2,Mg,Nd
311233.cif,MgNd,rt,2,Nd,Mg
531837.cif,MgNd,rt,2,Mg,Nd
251755.cif,MgNd,rt,2,Mg,Nd
1146051.cif,MgNd,rt,2,Mg,Nd
250289.cif,LuZn,,2,Lu,Zn
1943436.cif,LuSb,hp,2,Lu,Sb
458149.cif,LuRu,,2,Lu,Ru
525111.cif,LuRh,,2,Lu,Rh
451398.cif,LuRh,,2,Lu,Rh
533885.cif,LuPd,,2,Pd,Lu
1729035.cif,LuPd,,2,Lu,Pd
528106.cif,LuPd,,2,Lu,Pd
450110.cif,LuPd,,2,Lu,Pd
527173.cif,LuMg,,2,Mg,Lu
526424.cif,LuMg,,2,Mg,Lu
533660.cif,LiTl,,2,Li,Tl
261595.cif,LiTl,,2,Li,Tl
458264.cif,LiTl,,2,Li,Tl
252131.cif,LiPd,ht,2,Li,Pd
450627.cif,LiPd,ht,2,Li,Pd
252077.cif,LiPd,ht,2,Li,Pd
450729.cif,Li1.20Pd0.80,ht,2,Li,Pd0.8Li0.2
450765.cif,Li1.20Pd0.80,ht,2,Li,Pd0.8Li0.2
1120417.cif,Li0.47Pb0.53Zr,cub,3,Pb0.53Li0.47,Zr
1234062.cif,Li0.50Pb0.50Zr,cub,3,Li0.5Pb0.5,Zr
456005.cif,LiPb,ht,2,Li,Pb
261126.cif,LiPb,ht,2,Li,Pb
1210884.cif,LaZn,,2,La,Zn
456076.cif,LaZn,,2,La,Zn
453501.cif,LaZn,,2,La,Zn
1826390.cif,LaZn,,2,La,Zn
456306.cif,LaZn,,2,La,Zn
1210736.cif,LaZn,,2,La,Zn
1301113.cif,LaTl,,2,La,Tl
250305.cif,LaTl,,2,La,Tl
1940248.cif,LaTe,hp,2,La,Te
1819609.cif,LaSe,hp,2,La,Se
1819608.cif,LaS,hp,2,La,S
1124284.cif,LaNi0.04Zn0.96,,3,La,Zn0.96Ni0.04
1041358.cif,LaMg0.93Sn0.07,,3,La,Mg0.93Sn0.07
251745.cif,LaMg,,2,La,Mg
250271.cif,LaMg,,2,La,Mg
1828436.cif,LaMg,,2,La,Mg
456073.cif,LaMg,,2,La,Mg
1942979.cif,LaMg,,2,La,Mg
1640495.cif,LaMg,,2,La,Mg
1629529.cif,LaMg,,2,Mg,La
260566.cif,LaMg,,2,La,Mg
1216150.cif,LaMg,,2,La,Mg
1432153.cif,LaMg,,2,La,Mg
552394.cif,LaMg,,2,Mg,La
1008766.cif,LaMg,,2,La,Mg
261142.cif,LaMg,,2,Mg,La
314267.cif,K0.50O0.75Pb0.50,,3,K0.5Pb0.5,O0.75
526637.cif,IrZr,ht,2,Zr,Ir
1301513.cif,IrZr,ht,2,Zr,Ir
453712.cif,IrZr,ht,2,Ir,Zr
458148.cif,IrYb,,2,Yb,Ir
261940.cif,IrY,,2,Ir,Y
451399.cif,IrTm,,2,Tm,Ir
260933.cif,Ir0.70Ti1.30,,2,Ti,Ir0.7Ti0.3
262059.cif,Ir0.70Ti1.30,,2,Ir0.7Ti0.3,Ti
457559.cif,Ir0.80Ti1.20,,2,Ti,Ir0.8Ti0.2
528896.cif,Ir0.80Ti1.20,,2,Ti,Ir0.8Ti0.2
525110.cif,IrSc,,2,Sc,Ir
527112.cif,IrSc,,2,Sc,Ir
1500057.cif,IrSc,,2,Sc,Ir
1924654.cif,Ir0.64Re0.36Ti,,3,Ir0.64Re0.36,Ti
525109.cif,IrLu,,2,Ir,Lu
451400.cif,IrLu,,2,Lu,Ir
530675.cif,InYb,,2,In,Yb
451525.cif,InYb,,2,Yb,In
250954.cif,InYb,,2,In,Yb
251426.cif,InYb,,2,Yb,In
260031.cif,InY,,2,In,Y
451529.cif,InY,,2,Y,In
260052.cif,InTm,,2,In,Tm
451526.cif,InTm,,2,Tm,In
528687.cif,InTe,hp2,2,In,Te
1940263.cif,InTe,hp2,2,In,Te
456649.cif,InTe,hp2,2,In,Te
450300.cif,InSm,,2,Sm,In
1300769.cif,In0.90Sc1.10,cub,2,Sc,In0.9Sc0.1
534067.cif,InSb,hp4,2,In,Sb
533952.cif,InRh,,2,Rh,In
526992.cif,InRh,,2,Rh,In
1928874.cif,In0.50PtZr0.50,,3,Pt,In0.5Zr0.5
460712.cif,In0.50PtZr0.50,,3,Pt,In0.5Zr0.5
460710.cif,In0.50PtTi0.50,,3,Pt,In0.5Ti0.5
451527.cif,InPr,m,2,Pr,In
1814677.cif,In0.50PdZr0.50,,3,Pd,In0.5Zr0.5
1650102.cif,In0.04Pd0.96Yb,,3,Yb,Pd0.96In0.04
1650108.cif,In0.90PdYb0.10,,3,Pd,In0.9Yb0.1
1814676.cif,In0.50PdTi0.50,rt,3,Pd,In0.5Ti0.5
1907465.cif,In0.68PdTb0.32,,3,In0.68Tb0.32,Pd
1212378.cif,In0.90PdSn0.10,,3,Pd,In0.9Sn0.1
1831343.cif,InPd,,2,In,Pd
250957.cif,InPd,,2,Pd,In
1907466.cif,InPd,,2,In,Pd
1838026.cif,InPd,,2,Pd,In
534751.cif,InPd,,2,Pd,In
1210722.cif,InPd,,2,Pd,In
526643.cif,InPd,,2,Pd,In
1814669.cif,In0.50NiZr0.50,,3,Ni,In0.5Zr0.5
1707391.cif,In0.50NiTi0.50,ht,3,Ni,In0.5Ti0.5
534756.cif,InNi,ht,2,Ni,In
1822222.cif,InNi,ht,2,Ni,In
532140.cif,InNi,ht,2,In,Ni
452316.cif,InNi,ht,2,In,Ni
1300583.cif,InNd,,2,Nd,In0.98In0.02
1833770.cif,In0.43Mn0.52Rh1.04,,3,Rh,Mn0.524In0.434Rh0.042
1924813.cif,In0.50Mn0.50Rh,,3,In0.5Mn0.5,Rh
1833785.cif,In0.50Mn0.50Pd,ht,3,Pd,In0.5Mn0.5
311174.cif,In0.50Mn0.50Pd,ht,3,Pd,In0.5Mn0.5
1933194.cif,In0.20Mn0.78Ni0.96Si0.06,,4,Ni0.96In0.04,Mn0.78In0.16Si0.06
1933193.cif,In0.26Mn0.78Ni0.96,ht,3,Ni0.96In0.04,Mn0.78In0.22
1838482.cif,In0.29Mn0.71Ni,ht,3,Ni,Mn0.71In0.29
1819713.cif,In0.30Mn0.70Ni,ht,3,Mn0.696In0.304,Ni
1930033.cif,In0.32Mn0.68Ni,ht,3,Mn0.68In0.32,Ni
1962993.cif,In0.40Mn0.60Ni,ht,3,Mn0.6In0.4,Ni
1925845.cif,InLi,hp,2,Li,In
451528.cif,InLa,,2,La,In
547117.cif,ITl,ht,2,Tl,I
545066.cif,ITl,ht,2,Tl,I
545661.cif,ITl,ht,2,Tl,I
1923648.cif,ITl,ht,2,Tl,I
1300651.cif,ITl,ht,2,Tl,I
1925142.cif,ITl,ht,2,Tl,I
545663.cif,IRb0.09Tl0.91,,3,Tl0.91Rb0.09,I
1921280.cif,IRb,hp2,2,Rb,I
1925197.cif,IRb,hp2,2,Rb,I
1925145.cif,IRb,hp2,2,Rb,I
1214534.cif,IRb,hp2,2,Rb,I
1921276.cif,IK,hp,2,K,I
1323399.cif,IK,hp,2,K,I
1057202.cif,I0In0PbTe,hp2,4,Pb0.9965In0.0035,Te0.996I0.004
530795.cif,HoZn,rt,2,Zn,Ho
526145.cif,HoZn,rt,2,Ho,Zn
250285.cif,HoZn,rt,2,Ho,Zn
1710955.cif,HoZn,rt,2,Ho,Zn
528232.cif,HoTl,rt,2,Ho,Tl
250309.cif,HoTl,rt,2,Ho,Tl
1301121.cif,HoTl,rt,2,Ho,Tl
1943433.cif,HoSb,hp,2,Ho,Sb
450584.cif,HoRh,,2,Ho,Rh
457222.cif,HoRh,,2,Ho,Rh
451395.cif,HoRh,,2,Ho,Rh
251839.cif,HoPd,ht,2,Ho,Pd
528110.cif,HoPd,ht,2,Ho,Pd
526427.cif,HoMg,,2,Ho,Mg
250278.cif,HoMg,,2,Ho,Mg
251748.cif,HoMg,,2,Ho,Mg
527171.cif,HoMg,,2,Mg,Ho
451388.cif,HoIr,,2,Ho,Ir
1907469.cif,Ho0.20In0.80Pd,,3,In0.8Ho0.2,Pd
528233.cif,HoIn,rt,2,Ho,In
250303.cif,HgYb,,2,Hg,Yb
530676.cif,HgYb,,2,Hg,Yb
251946.cif,HgY,,2,Hg,Y
532731.cif,HgY,,2,Y,Hg
