Filename,Formula,Notes,Num Elements,1a CsCl,1b CsCl
250302.cif,HgTm,,2,Hg,Tm
450322.cif,HgTl,m,2,Hg,Tl
250298.cif,HgTb,,2,Hg,Tb
456246.cif,HgTb,,2,Tb,Hg
451192.cif,HgSr,,2,Sr,Hg
450913.cif,HgSr,,2,Sr,Hg
532730.cif,HgSc,,2,Hg,Sc
251879.cif,HgPr,,2,Hg,Pr
251878.cif,HgNd,,2,Nd,Hg
456210.cif,HgMn,rt,2,Mn,Hg
532962.cif,HgMn,rt,2,Mn,Hg
558721.cif,HgMn,rt,2,Hg,Mn
382815.cif,HgMn,rt,2,Mn,Hg
1300588.cif,HgMn,rt,2,Hg,Mn
528423.cif,HgMn,rt,2,Hg,Mn
458252.cif,HgMg,,2,Mg,Hg
526938.cif,HgMg,,2,Hg,Mg
456617.cif,HgMg,,2,Hg,Mg
250304.cif,HgLu,,2,Hg,Lu
461495.cif,Hg0.50LiTl0.50,,3,Li,Hg0.5Tl0.5
458267.cif,HgLi,rt,2,Li,Hg
534676.cif,HgLi,rt,2,Hg,Li
261596.cif,HgLi,rt,2,Li,Hg
251883.cif,HgLa,,2,Hg,La
251881.cif,HgLa,,2,La,Hg
450903.cif,HgLa,,2,Hg,La
251902.cif,HgLa,,2,La,Hg
250300.cif,HgHo,,2,Hg,Ho
532429.cif,HgHo,,2,Ho,Hg
250078.cif,HfTc,,2,Hf,Tc
1924368.cif,Hf0.50RuTi0.50,,3,Hf0.5Ti0.5,Ru
1011316.cif,Hf0.60RuTi0.40,,3,Hf0.6Ti0.4,Ru
1533214.cif,HfRu,,2,Hf,Ru
531806.cif,HfRu,,2,Hf,Ru
1233486.cif,HfRu,,2,Hf,Ru
1011315.cif,HfRu,,2,Hf,Ru
252223.cif,HfRu,,2,Hf,Ru
1951394.cif,Hf0.79Rh1.12Ru0.09,cub,3,Hf0.79Rh0.12Ru0.09,Rh
262065.cif,HfRh,Rh+,2,Hf,Rh
262047.cif,HfPt,rt,2,Hf,Pt
1606297.cif,HfPt,ht,2,Hf,Pt
1949700.cif,HfPd,ht,2,Hf,Pd
252218.cif,HfOs,,2,Hf,Os
1943196.cif,Hf0.40Ni1.01Ti0.59,ht,3,Ni,Ti0.59Hf0.4Ni0.01
1831292.cif,Hf0.40Ni1.01Ti0.59,ht,3,Ni,Ti0.594Hf0.4Ni0.006
1941212.cif,Hf0.40Ni0.91Pd0.10Ti0.59,cub,4,Ni0.91Pd0.09,Ti0.59Hf0.4Pd0.01
1020360.cif,HfNi,ht,2,Hf,Ni
460709.cif,Hf0.50In0.50Pt,,3,Pt,Hf0.5In0.5
1814678.cif,Hf0.50In0.50Pd,,3,Pd,Hf0.5In0.5
1814670.cif,Hf0.50In0.50Ni,ht,3,Ni,Hf0.5In0.5
1240974.cif,Ge0.40Sb0.40Te,ht-hp,3,Ge0.4Sb0.4,Te
1606628.cif,GeRu,ht-hp,2,Ru,Ge
302796.cif,Ge0.20NiZn0.80,,3,Zn0.8Ge0.2,Ni
456922.cif,GdZn,,2,Gd,Zn
1928610.cif,GdZn,,2,Gd,Zn
543960.cif,GdZn,,2,Gd,Zn
454662.cif,GdZn,,2,Gd,Zn
251894.cif,GdZn,,2,Gd,Zn
530798.cif,GdZn,,2,Zn,Gd
457314.cif,GdZn,,2,Gd,Zn
1013016.cif,GdZn,,2,Gd,Zn
454671.cif,GdZn,,2,Gd,Zn
312625.cif,GdZn,,2,Gd,Zn
456298.cif,GdZn,,2,Gd,Zn
1821813.cif,GdZn,,2,Gd,Zn
456304.cif,GdZn,,2,Gd,Zn
558432.cif,GdZn,,2,Gd,Zn
454732.cif,GdZn,,2,Gd,Zn
1014562.cif,Gd0.70Y0.30Zn,,3,Gd0.7Y0.3,Zn
538154.cif,Gd0.90TlY0.10,ht,3,Gd0.9Y0.1,Tl
454625.cif,GdTl,ht,2,Gd,Tl
451744.cif,GdTl,ht,2,Gd,Tl
1301118.cif,GdTl,ht,2,Gd,Tl
451390.cif,GdRh,,2,Gd,Rh
450586.cif,GdRh,,2,Gd,Rh
261665.cif,GdRh,,2,Gd,Rh
528145.cif,GdRh,,2,Gd,Rh
1639507.cif,GdRh,,2,Gd,Rh
543957.cif,GdRh,,2,Gd,Rh
1014559.cif,Gd0.50Pr0.50Zn,,3,Gd0.5Pr0.5,Zn
1014561.cif,Gd0.50Nd0.50Zn,,3,Gd0.5Nd0.5,Zn
1014563.cif,GdMg0.50Zn0.50,,3,Gd,Mg0.5Zn0.5
1921997.cif,Gd0.75MgY0.25,,3,Gd0.75Y0.25,Mg
251751.cif,GdMg,,2,Gd,Mg
250275.cif,GdMg,,2,Gd,Mg
527243.cif,GdMg,,2,Mg,Gd
1231665.cif,GdMg,,2,Gd,Mg
251890.cif,GdMg,,2,Gd,Mg
1008533.cif,GdMg,,2,Gd,Mg
260565.cif,GdMg,,2,Gd,Mg
548291.cif,GdMg,,2,Gd,Mg
552399.cif,GdMg,,2,Mg,Gd
1804288.cif,GdMg,,2,Gd,Mg
456297.cif,GdMg,,2,Gd,Mg
527168.cif,GdMg,,2,Gd,Mg
457943.cif,GdMg,,2,Gd,Mg
1008534.cif,GdLi0.10Mg0.90,,3,Gd,Mg0.9Li0.1
538155.cif,Gd0.90La0.10Tl,rt,3,Gd0.9La0.1,Tl
558433.cif,GdIn0.15Zn0.85,,3,Gd,Zn0.85In0.15
538153.cif,GdIn0.10Tl0.90,ht,3,Gd,Tl0.9In0.1
1907471.cif,Gd0.16In0.84Pd,,3,In0.84Gd0.16,Pd
261847.cif,GdIn,Gd+,2,Gd,In
451751.cif,GdIn,Gd+,2,Gd,In
251895.cif,GdHg,,2,Gd,Hg
312626.cif,GdHg,,2,Gd,Hg
531599.cif,Ga0.50V1.50,ht,2,V,Ga0.5V0.5
1965769.cif,Ga0.50V1.50,ht,2,V,Ga0.5V0.5
1058465.cif,Ga0.60Ru0.40Tm,,3,Tm,Ga0.6Ru0.4
532739.cif,GaRu,,2,Ru,Ga
1959005.cif,GaRh,,2,Rh,Ga
533953.cif,GaRh,,2,Rh,Ga
455904.cif,GaRh,,2,Rh,Ga
261760.cif,Ga0.88Pd1.12,ht,2,Pd,Ga0.88Pd0.12
1350609.cif,Ga0.94Ni1.06,,2,Ni,Ga0.94Ni0.06
1351779.cif,GaNi,,2,Ni,Ga
1630182.cif,GaNi,,2,Ni,Ga
1010020.cif,GaNi,,2,Ni,Ga
530432.cif,GaNi,,2,Ni,Ga
534761.cif,GaNi,,2,Ni,Ga
1830592.cif,GaNi,,2,Ni0.98Ga0.02,Ga0.98Ni0.02
532450.cif,GaNi,,2,Ga,Ni
262167.cif,GaNi,,2,Ga,Ni
314405.cif,Ga0.10MnZn0.90,,3,Mn,Zn0.9Ga0.1
1924812.cif,Ga0.50Mn0.50Rh,,3,Ga0.5Mn0.5,Rh
1833769.cif,Ga0.48Mn0.42Rh1.10,,3,Rh,Ga0.48Mn0.42Rh0.1
1960766.cif,Ga0.30Mn0.70Pd,ht,3,Mn0.7Ga0.3,Pd
536637.cif,Ga0.50Mn0.50Pd,ht,3,Pd,Ga0.5Mn0.5
1960764.cif,Ga0.50Mn0.50Pd,ht,3,Ga0.5Mn0.5,Pd
1833784.cif,Ga0.50Mn0.50Pd,ht,3,Pd,Ga0.5Mn0.5
1058468.cif,Ga0.50LuRu0.50,,3,Lu,Ga0.5Ru0.5
532737.cif,GaIr,,2,Ir,Ga
454317.cif,FeV,ht,2,Fe,V
252221.cif,FeV,ht,2,V,Fe
535061.cif,FeV,ht,2,V,Fe
1042885.cif,Fe0.91Ti1.08Zr0.01,,3,Fe0.91Ti0.08Zr0.01,Ti
1961213.cif,Fe0.98Ti0.98Zr0.04,,3,Fe0.98Zr0.02,Ti0.98Zr0.02
1965826.cif,Fe0.94TiV0.06,,3,Ti,Fe0.94V0.06
1825362.cif,Fe0.96Ti0.94V0.10,,3,Fe0.96V0.04,Ti0.94V0.06
1959456.cif,Fe0.96Ti1.04,rt,2,Ti,Fe0.96Ti0.04
1500231.cif,FeTi,rt,2,Ti,Fe
1837139.cif,FeTi,rt,2,Fe,Ti
1411671.cif,FeTi,rt,2,Fe,Ti
1612056.cif,FeTi,rt,2,Ti,Fe
530928.cif,FeTi,rt,2,Fe,Ti
377956.cif,FeTi,rt,2,Ti,Fe
535062.cif,FeTi,rt,2,Ti,Fe
457609.cif,FeTi,rt,2,Ti,Fe
1965825.cif,FeTi,rt,2,Ti,Fe
531988.cif,FeTi,rt,2,Fe,Ti
1961260.cif,FeTi,rt,2,Ti,Fe
1055745.cif,FeTi,rt,2,Fe,Ti
1234958.cif,FeTi,rt,2,Fe,Ti
456745.cif,FeTi,rt,2,Fe,Ti
1411672.cif,FeTi,rt,2,Fe0.988Ti0.012,Ti0.988Fe0.012
261325.cif,FeTi,rt,2,Fe,Ti
1030871.cif,FeTi,rt,2,Ti,Fe
1828237.cif,FeTi,rt,2,Ti,Fe
1270725.cif,FeTi,rt,2,Fe,Ti
1214788.cif,FeTi,rt,2,Ti,Fe
252215.cif,FeTi,rt,2,Ti,Fe
1617154.cif,FeTi,rt,2,Ti,Fe
1407326.cif,FeTi,rt,2,Ti,Fe
1810015.cif,FeTi,rt,2,Fe,Ti
1961208.cif,FeTi,rt,2,Fe,Ti
533625.cif,Fe1.50Sn0.50,m,2,Fe,Fe0.5Sn0.5
1822289.cif,Fe0.95Si0.03Ti1.02,,3,Ti,Fe0.95Si0.03Ti0.02
1230419.cif,FeSi,ht-hp,2,Fe,Si
1923809.cif,FeSi,ht,2,Fe,Si
1826190.cif,Fe1.34Si0.66,ht,2,Fe,Si0.66Fe0.34
450925.cif,Fe1.34Si0.66,ht,2,Fe,Si0.66Fe0.34
1821721.cif,Fe1.39Si0.61,ht,2,Fe,Si0.608Fe0.392
1100701.cif,Fe1.50Si0.50,ht,2,Fe,Fe0.5Si0.5
307564.cif,Fe1.72Si0.28,ht,2,Fe,Fe0.72Si0.28
1824131.cif,Fe1.88Si0.12,ht,2,Fe,Fe0.88Si0.12
1720011.cif,Fe0.56Ru0.56Ti0.88,,3,Ti0.842Fe0.079Ru0.079,Fe0.4825Ru0.4825Ti0.035
1720012.cif,Fe0.76Ru0.44Ti0.80,,3,Ti0.796Fe0.204,Fe0.555Ru0.445
1720014.cif,Fe0.89Ru0.51Ti0.60,,3,Ti0.602Fe0.398,Ru0.511Fe0.489
1720015.cif,FeRu0.49Ti0.51,,3,Ti0.511Fe0.489,Fe0.507Ru0.493
1720013.cif,Fe0.88Ru0.43Ti0.69,,3,Ti0.685Fe0.315,Fe0.57Ru0.43
1833857.cif,Fe0.50RuSi0.50,,3,Fe0.5Si0.5,Ru
1946300.cif,Fe0.50RuSi0.50,,3,Ru,Fe0.5Si0.5
1963702.cif,Fe0.98Rh1.02,rt,2,Fe0.98Rh0.02,Rh
1967502.cif,Fe0.98Rh1.02,rt,2,Fe0.98Rh0.02,Rh
383097.cif,FeRh,rt,2,Fe,Rh
553575.cif,FeRh,rt,2,Fe,Rh
312258.cif,FeRh,rt,2,Fe,Rh
530667.cif,FeRh,rt,2,Fe,Rh
1929759.cif,FeRh,rt,2,Rh,Fe
534279.cif,FeRh,ht1,2,Fe,Rh
312646.cif,FeRh,rt,2,Fe,Rh
1012538.cif,FeRh,rt,2,Fe,Rh
1966523.cif,FeRh,rt,2,Fe,Rh
382062.cif,FeRh,rt,2,Rh,Fe
555218.cif,FeRh,rt,2,Fe,Rh
554817.cif,FeRh,rt,2,Fe,Rh
1235306.cif,FeRh,rt,2,Fe,Rh
311839.cif,FeRh,rt,2,Fe,Rh
1235305.cif,FeRh,rt,2,Fe,Rh
1822115.cif,Fe1.10Rh0.90,rt,2,Fe,Rh0.9Fe0.1
1407328.cif,Fe0.80Pd0.20Ti,,3,Ti,Fe0.8Pd0.2
1830228.cif,FePd0.20Rh0.80,rt,3,Fe,Rh0.8Pd0.2
1966524.cif,FePd0.10Rh0.90,rt,3,Fe,Rh0.9Pd0.1
1931765.cif,Fe0.98Pd0.07Rh0.95,rt,3,Fe0.98Pd0.02,Rh0.95Pd0.05
1922977.cif,NiTi0.92,rt,2,Ni,Ti0.921
1922978.cif,Ni0.98Ti,rt,2,Ni0.977,Ti
1922979.cif,NiTi0.94,rt,2,Ni,Ti0.942
1604523.cif,Fe0.06Ni0.94Ti,rt,3,Ti,Ni0.94Fe0.06
1831998.cif,Fe0.06Ni0.94Ti,rt,3,Ti,Ni0.94Fe0.06
1604524.cif,Fe0.06Ni0.94Ti,rt,3,Ti,Ni0.94Fe0.06
1822339.cif,Fe0.10Ni0.90Ti,rt,3,Ti,Ni0.9Fe0.1
1709300.cif,Fe0.50Ni0.50Ti,rt,3,Ti,Fe0.5Ni0.5
1833381.cif,Fe0.50Ni0.50Ti,rt,3,Ti,Fe0.5Ni0.5
1828238.cif,Fe0.60Ni0.40Ti,rt,3,Ti,Fe0.6Ni0.4
1500232.cif,Fe0.80Ni0.20Ti,rt,3,Ti,Fe0.8Ni0.2
311266.cif,Fe0.85Ni0.15Ti,rt,3,Ti,Fe0.85Ni0.15
311267.cif,Fe0.90Ni0.10Ti,rt,3,Ti,Fe0.9Ni0.1
1833805.cif,FeNi0.50Si0.50,ht,3,Fe,Ni0.5Si0.5
1836097.cif,Fe0.95Ni0.03Rh1.02,,3,Fe0.95Ni0.03Rh0.02,Rh
1967445.cif,Fe0.80Mn0.20Ti0.92Y0.08,,4,Ti0.92Y0.08,Fe0.8Mn0.2
1241709.cif,Fe0.89Mn0.17Ti0.91V0.02,,4,Ti0.914Mn0.062V0.024,Fe0.894Mn0.106
1241708.cif,Fe0.70Mn0.30Ti,,3,Ti,Fe0.7Mn0.3
1967444.cif,Fe0.80Mn0.20Ti,,3,Ti,Fe0.8Mn0.2
1965895.cif,Fe0.80Mn0.20Ti,,3,Ti,Fe0.8Mn0.2
1946577.cif,Fe0.80Mn0.20Ti,,3,Ti,Fe0.8Mn0.2
1612306.cif,Fe0.88Mn0.12Ti,,3,Fe0.885Mn0.115,Ti
1055746.cif,Fe0.90Mn0.10Ti,,3,Fe0.9Mn0.1,Ti
311265.cif,Fe0.90Mn0.10Ti,,3,Ti,Fe0.9Mn0.1
1965896.cif,Fe0.80La0.09Mn0.20Ti0.91,,4,Ti0.91La0.09,Fe0.8Mn0.2
382635.cif,FeIr0.05Rh0.95,,3,Fe,Rh0.95Ir0.05
1833809.cif,FeGa0.50V0.50,cub,3,Fe,Ga0.5V0.5
1343356.cif,Fe0.50Ga0.50Ti,,3,Ti,Fe0.5Ga0.5
1833766.cif,Fe0.42Ga0.62Rh0.96,,3,Rh0.96Fe0.04,Ga0.62Fe0.38
1924061.cif,Fe0.44Ga0.54Ni1.02,rt,3,Ni,Ga0.54Fe0.44Ni0.02
1243351.cif,Fe0.50Ga0.50Ni,rt,3,Ni,Fe0.5Ga0.5
1964617.cif,Fe0.80Ga0.70Ni0.50,rt,3,Fe0.8Ni0.2,Ga0.7Ni0.3
1833804.cif,FeGa0.50Ni0.50,rt,3,Fe,Ga0.5Ni0.5
1933567.cif,Fe1.40Ga0.60,ht,2,Fe,Ga0.6Fe0.4
1962842.cif,Fe1.46Ga0.54,ht,2,Fe,Ga0.54Fe0.46
1300924.cif,FRb,hp,2,Rb,F
1921283.cif,FRb,hp,2,Rb,F
1215481.cif,FRb,hp,2,Rb,F
1921279.cif,FK,hp,2,K,F
250282.cif,EuZn,,2,Eu,Zn
252031.cif,EuZn,,2,Eu,Zn
250307.cif,EuTl,,2,Eu,Tl
530673.cif,EuTl,,2,Eu,Tl
456415.cif,EuTe,hp,2,Eu,Te
457648.cif,EuTe,hp,2,Eu,Te
1301135.cif,EuO,hp,2,Eu,O
1006793.cif,EuMg,,2,Eu,Mg
252025.cif,EuHg,,2,Eu,Hg
250312.cif,EuHg,,2,Eu,Hg
1710944.cif,ErZn,rt,2,Er,Zn
526144.cif,ErZn,rt,2,Er,Zn
250286.cif,ErZn,rt,2,Er,Zn
530794.cif,ErZn,rt,2,Zn,Er
526723.cif,ErTl,rt,2,Er,Tl
528231.cif,ErTl,rt,2,Er,Tl
250310.cif,ErTl,rt,2,Er,Tl
1301122.cif,ErTl,rt,2,Er,Tl
1943434.cif,ErSb,hp,2,Er,Sb
531953.cif,ErRh,,2,Er,Rh
457221.cif,ErRh,,2,Er,Rh
451396.cif,ErRh,,2,Er,Rh
450583.cif,ErRh,,2,Er,Rh
1958619.cif,Er0.18Pr0.82Zn,,3,Pr0.82Er0.18,Zn
528107.cif,ErPd,ht,2,Er,Pd
251840.cif,ErPd,ht,2,Er,Pd
251747.cif,ErMg,,2,Er,Mg
527170.cif,ErMg,,2,Mg,Er
526426.cif,ErMg,,2,Mg,Er
250279.cif,ErMg,,2,Er,Mg
531826.cif,Er1.04Mg0.96,,2,Er,Mg0.96Er0.04
261939.cif,ErIr,,2,Er,Ir
451351.cif,ErIr,,2,Er,Ir
1907472.cif,Er0.20In0.80Pd,,3,In0.8Er0.2,Pd
528234.cif,ErIn,rt,2,Er,In
532430.cif,ErHg,,2,Er,Hg
250301.cif,ErHg,,2,Er,Hg
1058463.cif,ErGa0.60Ru0.40,,3,Er,Ga0.6Ru0.4
528002.cif,DyZn,rt,2,Dy,Zn
532696.cif,DyZn,rt,2,Dy,Zn
250284.cif,DyZn,rt,2,Dy,Zn
1818667.cif,DyZn,rt,2,Dy,Zn
526143.cif,DyZn,rt,2,Dy,Zn
530796.cif,DyZn,rt,2,Zn,Dy
1301120.cif,DyTl,rt,2,Dy,Tl
451747.cif,DyTl,rt,2,Dy,Tl
1818665.cif,Dy0.50Tb0.50Zn,,3,Dy0.5Tb0.5,Zn
1943432.cif,DySb,hp,2,Dy,Sb
261648.cif,DyRh,,2,Dy,Rh
457220.cif,DyRh,,2,Dy,Rh
450585.cif,DyRh,,2,Dy,Rh
451394.cif,DyRh,,2,Dy,Rh
528109.cif,DyPd,ht,2,Dy,Pd
251838.cif,DyPd,ht,2,Dy,Pd
250277.cif,DyMg,,2,Dy,Mg
527169.cif,DyMg,,2,Mg,Dy
526428.cif,DyMg,,2,Dy,Mg
1231664.cif,DyMg,,2,Dy,Mg
261989.cif,DyMg,,2,Dy,Mg
251749.cif,DyMg,,2,Dy,Mg
451745.cif,DyIn,rt,2,Dy,In
260046.cif,DyIn,rt,2,Dy,In
250299.cif,DyHg,,2,Dy,Hg
532431.cif,DyHg,,2,Dy,Hg
1831371.cif,Dy0.68Gd0.32Zn,,3,Dy0.68Gd0.32,Zn
454311.cif,CuZr,ht,2,Cu,Zr
450958.cif,CuZr,ht,2,Cu,Zr
1707399.cif,CuZn0.50Zr0.50,,3,Cu,Zn0.5Zr0.5
314456.cif,CuZn,rt,2,Cu,Zn
261607.cif,CuZn,rt,2,Cu,Zn
455349.cif,CuZn,rt,2,Cu,Zn
1961220.cif,CuZn,rt,2,Cu,Zn
456869.cif,Cu1.05Zn0.95,rt,2,Cu,Zn0.95Cu0.05
1961138.cif,Cu1.11Zn0.89,rt,2,Cu,Zn0.89Cu0.11
315021.cif,Cu0.80YZn0.20,,3,Cu0.8Zn0.2,Y
260772.cif,CuY,rt,2,Cu,Y
534898.cif,CuY,rt,2,Cu,Y
1822375.cif,CuY,rt,2,Y,Cu
1950413.cif,CuY,rt,2,Y,Cu
251947.cif,CuY,rt,2,Cu,Y
1803846.cif,CuY,rt,2,Y,Cu
1048554.cif,CuY,rt,2,Y,Cu
252229.cif,CuY,rt,2,Cu,Y
1931664.cif,CuY,rt,2,Y,Cu
451522.cif,CuY,rt,2,Y,Cu
1629317.cif,CuY,rt,2,Cu,Y
1939665.cif,CuY,rt,2,Y,Cu
315020.cif,CuY,rt,2,Cu,Y
1943194.cif,CuY,rt,2,Cu,Y
1635637.cif,CuY,rt,2,Y,Cu
1412136.cif,CuY,rt,2,Cu,Y
555622.cif,CuTm,rt,2,Tm,Cu
1048560.cif,CuTm,rt,2,Tm,Cu
454685.cif,CuTm,rt,2,Tm,Cu
530804.cif,CuTm,rt,2,Cu,Tm
250270.cif,CuTm,rt,2,Cu,Tm
1707394.cif,CuTi0.50Zn0.50,,3,Cu,Ti0.5Zn0.5
1924390.cif,Cu0.50TbZn0.50,,3,Cu0.5Zn0.5,Tb
315024.cif,Cu0.50TbZn0.50,,3,Tb,Cu0.5Zn0.5
1939666.cif,CuTb0.60Y0.40,,3,Tb0.6Y0.4,Cu
530802.cif,CuTb,rt,2,Cu,Tb
457481.cif,CuTb,rt,2,Cu,Tb
1048556.cif,CuTb,rt,2,Tb,Cu
1840164.cif,CuTb,rt,2,Tb,Cu
1939664.cif,CuTb,rt,2,Tb,Cu
315022.cif,CuTb,rt,2,Tb,Cu
250269.cif,CuTb,rt,2,Cu,Tb
456243.cif,CuTb,rt,2,Tb,Cu
528001.cif,CuTb,rt,2,Tb,Cu
1707395.cif,CuSn0.50Ti0.50,,3,Cu,Sn0.5Ti0.5
530792.cif,CuSm,cub,2,Cu,Sm
543959.cif,CuSm,cub,2,Sm,Cu
1950470.cif,CuSm,cub,2,Sm,Cu
1832810.cif,CuSm,cub,2,Sm,Cu
527258.cif,CuSc,,2,Sc,Cu
453569.cif,CuSc,,2,Cu,Sc
1960845.cif,CuSc,,2,Sc,Cu
527116.cif,CuSc,,2,Cu,Sc
1340283.cif,CuSc,,2,Cu,Sc
1943086.cif,Cu1.10Pd0.86Sn0.04,,3,Cu,Pd0.86Cu0.1Sn0.04
1826323.cif,Cu1.04Pd0.96,rt,2,Cu,Pd0.96Cu0.04
1819821.cif,Cu1.05Pd0.95,rt,2,Cu,Pd0.95Cu0.05
1943178.cif,Cu1.15Pd0.85,rt,2,Cu,Pd0.85Cu0.15
1943075.cif,Cu1.16Pd0.84,rt,2,Cu,Pd0.84Cu0.16
1719018.cif,Cu1.18Pd0.82,rt,2,Cu,Pd0.82Cu0.18
1930142.cif,Cu1.20Pd0.80,rt,2,Cu,Pd0.8Cu0.2
1051926.cif,Cu1.20Pd0.80,rt,2,Cu,Pd0.8Cu0.2
1051251.cif,Cu0.07Ni0.93Zr,ht,3,Ni0.929Cu0.071,Zr
1051250.cif,Cu0.60Ni0.40Zr,ht,3,Cu0.6Ni0.4,Zr
1051249.cif,Cu0.70Ni0.30Zr,ht,3,Cu0.7Ni0.3,Zr
1051247.cif,Cu0.70Ni0.30Zr,ht,3,Cu0.7Ni0.3,Zr
1051257.cif,Cu0.70Ni0.30Zr,ht,3,Cu0.7Ni0.3,Zr
1051248.cif,Cu0.59Ni0.41Zr,ht,3,Cu0.59Ni0.41,Zr
1905171.cif,Cu0.30Ni0.58Zn1.12,,3,Ni0.58Cu0.3Zn0.12,Zn
558248.cif,Cu0.50Ni0.50Zn,,3,Cu0.5Ni0.5,Zn
1905163.cif,Cu0.60Ni0.44Zn0.96,,3,Zn0.96Ni0.04,Cu0.6Ni0.4
302057.cif,Cu0.94Ni0.06Y,,3,Y,Cu0.94Ni0.06
1960946.cif,Cu0.30Ni0.70Ti0.70Zr0.30,,4,Ni0.7Cu0.3,Ti0.7Zr0.3
1834095.cif,Cu0.20Ni0.82Ti0.98,ht,3,Ti0.98Ni0.02,Ni0.8Cu0.2
1958512.cif,Cu0.20Ni0.80Ti,ht,3,Ni0.8Cu0.2,Ti
1245843.cif,Cu0.30Ni0.70Ti,ht,3,Ni0.7Cu0.3,Ti
1142019.cif,Cu0.50Ni0.50Ti,ht,3,Ti,Cu0.5Ni0.5
1933199.cif,Cu0.50Ni0.50Ti,ht,3,Ti,Cu0.5Ni0.5
1022389.cif,Cu0.50Ni0.50Ti,ht,3,Ti,Cu0.5Ni0.5
1962671.cif,Cu0.50Ni0.50Ti,ht,3,Ti,Cu0.5Ni0.5
1008830.cif,Cu0.80Mn0.20Sm,,3,Sm,Cu0.8Mn0.2
1629322.cif,Cu0.04Mg0.96Y,,3,Mg0.96Cu0.04,Y
1629318.cif,Cu0.94Mg0.06Y,,3,Cu0.94Mg0.06,Y
1832812.cif,Cu0.01Mg0.99Sm,,3,Sm,Mg0.994Cu0.006
1832811.cif,Cu0.98Mg0.02Sm,,3,Sm,Cu0.984Mg0.016
1707396.cif,CuIn0.50Ti0.50,ht,3,Cu,In0.5Ti0.5
1814672.cif,CuIn0.50Ti0.50,ht,3,Cu,In0.5Ti0.5
1051922.cif,Cu0.08In0.88Pd1.04,,3,Pd,In0.88Cu0.08Pd0.04
1051927.cif,Cu0.92In0.06Pd1.02,,3,Cu0.92In0.06Pd0.02,Pd
250267.cif,CuHo,,2,Cu,Ho
1147479.cif,CuHo,,2,Ho,Cu
1822624.cif,CuHo,,2,Ho,Cu
1820233.cif,CuHo,,2,Ho,Cu
530805.cif,CuHo,,2,Cu,Ho
1930143.cif,CuHo,,2,Cu,Ho
454684.cif,CuHo,,2,Ho,Cu
1048558.cif,CuHo,,2,Ho,Cu
1340076.cif,CuHg0.50Mn0.50,,3,Hg0.5Mn0.5,Cu
1965649.cif,Cu0.30Hf0.25Ni0.70Ti0.50Zr0.25,ht,5,Ni0.7Cu0.3,Ti0.5Hf0.25Zr0.25
1814671.cif,CuHf0.50In0.50,cub2,3,Cu,Hf0.5In0.5
1249769.cif,Cu0.50Ge0.50Rh,,3,Rh,Cu0.5Ge0.5
1013014.cif,CuGd,rt,2,Gd,Cu
451742.cif,CuGd,rt,2,Gd,Cu
528142.cif,CuGd,rt,2,Gd,Cu
1301220.cif,CuGd,rt,2,Gd,Cu
1826091.cif,CuGd,rt,2,Gd,Cu
1929850.cif,CuGd,rt,2,Gd,Cu
1248509.cif,CuGd,rt,2,Gd,Cu
525521.cif,CuGd,rt,2,Cu,Gd
558797.cif,CuGd,rt,2,Gd,Cu
1048555.cif,CuGd,rt,2,Gd,Cu
260158.cif,CuGd,rt,2,Cu,Gd
1210679.cif,Cu0.70Ga0.30Y,,3,Cu0.7Ga0.3,Y
1635654.cif,Cu0.82Ga0.18Y,,3,Cu0.82Ga0.18,Y
302058.cif,Cu0.90Ga0.10Y,,3,Y,Cu0.9Ga0.1
1709242.cif,Cu0.50Ga0.50Ho,,3,Ho,Cu0.5Ga0.5
1010266.cif,Cu0.50Fe0.50Ti,,3,Ti,Cu0.5Fe0.5
1270635.cif,Cu0.05Fe0.86Mn0.10TiY0.05,,5,Fe0.86Mn0.1Cu0.05Y0.05,Ti
1152967.cif,Cu0.80Fe0.20Gd,,3,Gd,Cu0.8Fe0.2
451523.cif,CuEu,stab,2,Eu,Cu
1828083.cif,Cu0.50ErGa0.50,,3,Er,Cu0.5Ga0.5
1931722.cif,Cu0.52ErGa0.48,,3,Er,Cu0.52Ga0.48
1931721.cif,CuEr,,2,Er,Cu
1048559.cif,CuEr,,2,Er,Cu
261087.cif,CuEr,,2,Cu,Er
526737.cif,CuEr,,2,Er,Cu
250268.cif,CuEr,,2,Cu,Er
454683.cif,CuEr,,2,Er,Cu
1942845.cif,CuEr,,2,Er,Cu
525520.cif,CuEr,,2,Cu,Er
533787.cif,CuEr,,2,Cu,Er
1928066.cif,Cu0.90DyNi0.10,,3,Cu0.9Ni0.1,Dy
526739.cif,CuDy,,2,Cu,Dy
525786.cif,CuDy,,2,Dy,Cu
528003.cif,CuDy,,2,Dy,Cu
1928065.cif,CuDy,,2,Cu,Dy
451750.cif,CuDy,,2,Dy,Cu
530803.cif,CuDy,,2,Cu,Dy
1048557.cif,CuDy,,2,Dy,Cu
260072.cif,CuDy,,2,Dy,Cu
458404.cif,CuDy,,2,Cu,Dy
1521393.cif,CsN,rt,2,Cs,N
1965468.cif,Cs0.96IZn0.02,,3,Cs0.9604Zn0.0196,I
545662.cif,Cs0.07ITl0.93,,3,Tl0.93Cs0.07,I
1014642.cif,Cs0.98ITl0.02,,3,Cs0.98Tl0.02,I
1040368.cif,CsI,rt,2,Cs,I
